,Area,Item,Unit,Value,Sentence
4574,Andorra,Percentage of children under 5 years affected by wasting (percent),%,,In Andorra the Percentage of children under 5 years affected by wasting (percent) is nan %
4621,Andorra,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,,In Andorra the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is nan %
4667,Andorra,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,,In Andorra the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is nan %
4713,Andorra,Prevalence of obesity in the adult population (18 years and older) (percent),%,18.1,In Andorra the Prevalence of obesity in the adult population (18 years and older) (percent) is 18.1 %
4736,Andorra,Number of obese adults (18 years and older) (million),million No,<0.1,In Andorra the Number of obese adults (18 years and older) (million) is <0.1 million No
4756,Andorra,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,12.1,In Andorra the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 12.1 %
4799,Andorra,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Andorra the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
4820,Andorra,Prevalence of low birthweight (percent),%,9.4,In Andorra the Prevalence of low birthweight (percent) is 9.4 %
4865,Andorra,Incidence of caloric losses at retail distribution level (percent),%,3.02,In Andorra the Incidence of caloric losses at retail distribution level (percent) is 3.02 %
4887,Angola,Average dietary energy supply adequacy (percent) (3-year average),%,111,In Angola the Average dietary energy supply adequacy (percent) (3-year average) is 111 %
4911,Angola,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2352,In Angola the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 2352 kcal/cap/d
4933,Angola,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2397,In Angola the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 2397 kcal/cap/d
4954,Angola,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,63,"In Angola the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 63 %"
4975,Angola,Average protein supply (g/cap/day) (3-year average),g/cap/d,48.3,In Angola the Average protein supply (g/cap/day) (3-year average) is 48.3 g/cap/d
4996,Angola,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,14.9,In Angola the Average supply of protein of animal origin (g/cap/day) (3-year average) is 14.9 g/cap/d
5019,Angola,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,7407.1,"In Angola the Gross domestic product per capita, PPP, (constant 2017 international $) is 7407.1 Int$/cap"
5041,Angola,Prevalence of undernourishment (percent) (3-year average),%,23.2,In Angola the Prevalence of undernourishment (percent) (3-year average) is 23.2 %
5095,Angola,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,30.4,In Angola the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 30.4 %
5103,Angola,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,29.3,In Angola the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 29.3 %
5111,Angola,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,31.5,In Angola the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 31.5 %
5119,Angola,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,33.3,In Angola the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 33.3 %
5127,Angola,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,32.1,In Angola the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 32.1 %
5135,Angola,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,34.5,In Angola the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 34.5 %
5167,Angola,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,76.2,In Angola the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 76.2 %
5175,Angola,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,74.9,In Angola the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 74.9 %
5183,Angola,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,77.6,In Angola the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 77.6 %
5191,Angola,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,82.2,In Angola the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 82.2 %
5199,Angola,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,80.9,In Angola the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 80.9 %
5207,Angola,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,83.4,In Angola the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 83.4 %
5372,Angola,Cereal import dependency ratio (percent) (3-year average),%,39.2,In Angola the Cereal import dependency ratio (percent) (3-year average) is 39.2 %
5393,Angola,Percent of arable land equipped for irrigation (percent) (3-year average),%,0.1,In Angola the Percent of arable land equipped for irrigation (percent) (3-year average) is 0.1 %
5414,Angola,Value of food imports in total merchandise exports (percent) (3-year average),%,7,In Angola the Value of food imports in total merchandise exports (percent) (3-year average) is 7 %
5436,Angola,Political stability and absence of violence/terrorism (index),,-0.65,
5460,Angola,Per capita food supply variability (kcal/cap/day),kcal/cap/d,70,In Angola the Per capita food supply variability (kcal/cap/day) is 70 kcal/cap/d
5483,Angola,Percentage of population using at least basic drinking water services (percent),%,58,In Angola the Percentage of population using at least basic drinking water services (percent) is 58 %
5506,Angola,Percentage of population using at least basic sanitation services (percent),%,52,In Angola the Percentage of population using at least basic sanitation services (percent) is 52 %
5529,Angola,Percentage of children under 5 years affected by wasting (percent),%,,In Angola the Percentage of children under 5 years affected by wasting (percent) is nan %
5576,Angola,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,43.6,In Angola the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 43.6 %
5622,Angola,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,3.9,In Angola the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 3.9 %
5668,Angola,Prevalence of obesity in the adult population (18 years and older) (percent),%,11.5,In Angola the Prevalence of obesity in the adult population (18 years and older) (percent) is 11.5 %
5691,Angola,Number of obese adults (18 years and older) (million),million No,2,In Angola the Number of obese adults (18 years and older) (million) is 2 million No
